id,activitydate,totalsteps,totaldistance,trackerdistance,loggedactivitiesdistance,veryactivedistance,moderatelyactivedistance,lightactivedistance,sedentaryactivedistance,veryactiveminutes,fairlyactiveminutes,lightlyactiveminutes,sedentaryminutes,calories,totalsleeprecords,totalminutesasleep,totaltimeinbed
1503960366,2016-04-12,13162,8.5,8.5000000000000,0.0000000000000,1.8799999952316,0.5500000119209,6.0599999427795,0,25,13,328,728,1985,1,327,346
1503960366,2016-04-13,10735,6.96999979019165,6.9699997901917,0.0000000000000,1.5700000524521,0.6899999976158,4.7100000381470,0,21,19,217,776,1797,2,384,407
1503960366,2016-04-15,9762,6.28000020980835,6.2800002098084,0.0000000000000,2.1400001049042,1.2599999904633,2.8299999237061,0,29,34,209,726,1745,1,412,442
1503960366,2016-04-16,12669,8.15999984741211,8.1599998474121,0.0000000000000,2.7100000381470,0.4099999964237,5.0399999618530,0,36,10,221,773,1863,2,340,367
1503960366,2016-04-17,9705,6.48000001907349,6.4800000190735,0.0000000000000,3.1900000572205,0.7799999713898,2.5099999904633,0,38,20,164,539,1728,1,700,712
1503960366,2016-04-19,15506,9.88000011444092,9.8800001144409,0.0000000000000,3.5299999713898,1.3200000524521,5.0300002098084,0,50,31,264,775,2035,1,304,320
1503960366,2016-04-20,10544,6.67999982833862,6.6799998283386,0.0000000000000,1.9600000381470,0.4799999892712,4.2399997711182,0,28,12,205,818,1786,1,360,377
1503960366,2016-04-21,9819,6.34000015258789,6.3400001525879,0.0000000000000,1.3400000333786,0.3499999940395,4.6500000953674,0,19,8,211,838,1775,1,325,364
1503960366,2016-04-23,14371,9.03999996185303,9.0399999618530,0.0000000000000,2.8099999427795,0.8700000047684,5.3600001335144,0,41,21,262,732,1949,1,361,384
1503960366,2016-04-24,10039,6.40999984741211,6.4099998474121,0.0000000000000,2.9200000762940,0.2099999934435,3.2799999713898,0,39,5,238,709,1788,1,430,449
1503960366,2016-04-25,15355,9.80000019073486,9.8000001907349,0.0000000000000,5.2899999618530,0.5699999928474,3.9400000572205,0,73,14,216,814,2013,1,277,323
1503960366,2016-04-26,13755,8.78999996185303,8.7899999618530,0.0000000000000,2.3299999237061,0.9200000166893,5.5399999618530,0,31,23,279,833,1970,1,245,274
1503960366,2016-04-28,13154,8.52999973297119,8.5299997329712,0.0000000000000,3.5399999618530,1.1599999666214,3.7899999618530,0,48,28,189,782,1898,1,366,393
1503960366,2016-04-29,11181,7.15000009536743,7.1500000953674,0.0000000000000,1.0599999427795,0.5000000000000,5.5799999237061,0,16,12,243,815,1837,1,341,354
1503960366,2016-04-30,14673,9.25,9.2500000000000,0.0000000000000,3.5599999427795,1.4199999570847,4.2699999809265,0,52,34,217,712,1947,1,404,425
1503960366,2016-05-01,10602,6.80999994277954,6.8099999427795,0.0000000000000,2.2899999618530,1.6000000238419,2.9200000762940,0,33,35,246,730,1820,1,369,396
1503960366,2016-05-02,14727,9.71000003814697,9.7100000381470,0.0000000000000,3.2100000381470,0.5699999928474,5.9200000762940,0,41,15,277,798,2004,1,277,309
1503960366,2016-05-03,15103,9.65999984741211,9.6599998474121,0.0000000000000,3.7300000190735,1.0499999523163,4.8800001144409,0,50,24,254,816,1990,1,273,296
1503960366,2016-05-05,14070,8.89999961853027,8.8999996185303,0.0000000000000,2.9200000762940,1.0800000429153,4.8800001144409,0,45,24,250,857,1959,1,247,264
1503960366,2016-05-06,12159,8.02999973297119,8.0299997329712,0.0000000000000,1.9700000286102,0.2500000000000,5.8099999427795,0,24,6,289,754,1896,1,334,367
1503960366,2016-05-07,11992,7.71000003814697,7.7100000381470,0.0000000000000,2.4600000381470,2.1199998855591,3.1300001144409,0,37,46,175,833,1821,1,331,349
1503960366,2016-05-08,10060,6.57999992370605,6.5799999237061,0.0000000000000,3.5299999713898,0.3199999928474,2.7300000190735,0,44,8,203,574,1740,1,594,611
1503960366,2016-05-09,12022,7.71999979019165,7.7199997901917,0.0000000000000,3.4500000476837,0.5299999713898,3.7400000095367,0,46,11,206,835,1819,1,338,342
1503960366,2016-05-10,12207,7.76999998092651,7.7699999809265,0.0000000000000,3.3499999046326,1.1599999666214,3.2599999904633,0,46,31,214,746,1859,1,383,403
1503960366,2016-05-11,12770,8.13000011444092,8.1300001144409,0.0000000000000,2.5599999427795,1.0099999904633,4.5500001907349,0,36,23,251,669,1783,1,285,306
1644430081,2016-04-29,3176,2.30999994277954,2.3099999427795,0.0000000000000,0.0000000000000,0.0000000000000,2.3099999427795,0,0,0,120,1193,2498,1,119,127
